scientificName,kingdom
Haematomma ochroleucum (Neck.) J. R. Laundon,Fungi
Hertelidea botryosa (Fr.) Printzen et Kantvilas,Fungi
Hypogymnia bitteri (Lynge) Ahti ,Fungi
Hypogymnia farinacea Zopf ,Fungi
Hypogymnia physodes (L.) Nyl.,Fungi
Hypogymnia tubulosa (Schaer.) Hav.,Fungi
Hypogymnia vittata (Ach.) Parrique,Fungi
Hypotrachyna britannica (D. Hawksw. et P. James) Coppins,Fungi
Hypotrachyna laevigata (Sm.) Hale ,Fungi
Hypotrachyna revoluta (Flörke) Hale,Fungi
Hypotrachyna sinuosa (Sm.) Hale,Fungi
Imshaugia aleurites (Ach.) S. F. Meyer,Fungi
Ivanpisutia ocelliformis (Nyl.) S. Y. Kondr.,Fungi
Japewia subaurifera Muhr et Tønsberg ,Fungi
Lecania alexandrae Tomin ,Fungi
Lecania aff. athrynoides Knowles ,Fungi
Lecania cuprea (A. Massal.) van der Boom et Coppins ,Fungi
Lecania cyrtella (Ach.) Th. Fr.,Fungi
Lecania ephedrae Elenk.,Fungi
Lecania fuscella (Schaer.) A. Massal.,Fungi
Lecania inundata (Hepp ex Körb.) M. Mayrhofer,Fungi
Lecania koerberiana Lahm ,Fungi
Lecania leprosa Reese Næsb. et Vondrák,Fungi
Lecania nylanderiana A. Massal.,Fungi
Lecania olivacella (Nyl.) Zahlbr. ,Fungi
Lecania polycycla (Anzi) Lettau ,Fungi
Lecania pruinosa f. congesta Mich.,Fungi
Lecania rabenhorstii (Hepp) Arnold ,Fungi
Lecania spadicea (Flotow) Zahlbr.,Fungi
Lecania suavis (Müll. Arg.) Mig. ,Fungi
Lecania subcaesia (Nyl.) B. de Lesd. ,Fungi
Lecania triseptata (Vain.) Zahlbr. ,Fungi
Lecania turicensis (Hepp) Müll. Arg. ,Fungi
Lecaniella cyrtellina (Nyl.) S. Y. Kondr.,Fungi
Lecaniella dubitans (Nyl.) S. Y. Kondr.,Fungi
Lecaniella erysibe (Ach.) S. Y. Kondr.,Fungi
Lecaniella naegelii (Hepp) S. Y. Kondr.,Fungi
Lecaniella prasinoides (Elenkin) S. Y. Kondr.,Fungi
Lecaniella sylvestris (Arnold) S. Y. Kondr.,Fungi
Lecanora albella (Pers.) Ach. ,Fungi
Lecanora albellula (Nyl.) Th. Fr.,Fungi
Lecanora allophana Nyl. ,Fungi
Lecanora alpigena (Ach.) Cl. Roux ,Fungi
Lecanora argentata (Ach.) Malme ,Fungi
Lecanora argopholis (Ach.) Ach.,Fungi
Lecanora atrosulphurea (Wahlenb.) Ach. ,Fungi
Lecanora caesiosora Poelt ,Fungi
Lecanora campestris (Schaer.) Hue ,Fungi
Lecanora cateilea (Ach.) A. Massal. ,Fungi
Lecanora cenisia Ach. ,Fungi
Lecanora chlarotera Nyl. ,Fungi
Lecanora chloropolia (Erichs.) Almb. ,Fungi
Lecanora cinereofusca H. Magn. ,Fungi
Lecanora circumborealis Brodo et Vitik. ,Fungi
Lecanora coilocarpa (Ach.) Nyl.,Fungi
Lecanora compallens van Herk et Aptroot ,Fungi
Lecanora crenulatissima Mereschk. ,Fungi
Lecanora czarnohorensis (Motyka) S. Y. Kondr. ,Fungi
Lecanora dispersella J. Steiner ,Fungi
Lecanora elenkinii Mereschk. ,Fungi
Lecanora epanora (Ach.) Ach. ,Fungi
Lecanora expallens Ach.,Fungi
Lecanora exspersa Nyl. ,Fungi
Lecanora farinaria Borrer ,Fungi
Lecanora frustulosa (Dicks.) Ach. ,Fungi
Lecanora fuscescens (Sommerf.) Nyl. ,Fungi
Lecanora gangaleoides Nyl. ,Fungi
Lecanora glabrata (Ach.) Malme ,Fungi
Lecanora hypoptoides (Nyl.) Nyl. ,Fungi
Lecanora impudens Degel. ,Fungi
Lecanora intricata (Ach.) Ach. ,Fungi
Lecanora intumescens (Rebent.) Rabenh. ,Fungi
Lecanora leopoliensis Motyka ,Fungi
Lecanora lithophila (Wallr.) Oxner ,Fungi
Lecanora lojkae Vain. ,Fungi
Lecanora ludwigii (Spreng.) Ach. ,Fungi
Lecanora marginata (Schaer.) Hertel et Rambold ,Fungi
Lecanora multispora Makar. ,Fungi
Lecanora nemoralis Makar. ,Fungi
Lecanora orlovii S. Y. Kondr. et L. Lőkös ,Fungi
Lecanora orosthea (Ach.) Ach. ,Fungi
Lecanora pannonica Szatala,Fungi
"Lecanora panticapensis Khodosovtsev, Naumovich, Elix et S. Y. Kondr.",Fungi
Lecanora phaeostigma (Körb.) Almb. ,Fungi
Lecanora polytropa (Ehrh. ex Hoffm.) Rabenh. ,Fungi
Lecanora praepostera Nyl. (as L. paepostera) ,Fungi
Lecanora pulicaris (Pers.) Ach. ,Fungi
Lecanora rouxii S. Ekman et Tønsberg ,Fungi
Lecanora rupicola (L.) Zahlbr. ,Fungi
"Lecanora stanislai Guzow-Krzem., Łubek, Malíček et Kukwa ",Fungi
Lecanora strobilina (Spreng.) Kieff. ,Fungi
Lecanora subcarnea (Lilj.) Ach. ,Fungi
Lecanora subintricata (Nyl.) Th. Fr. ,Fungi
Lecanora subplanata Nyl. ,Fungi
Lecanora subrugosa Nyl.,Fungi
Lecanora substerilis Malíček et Vondrák ,Fungi
Lecanora symmicta (Ach.) Ach. ,Fungi
Lecanora taurica Motyka,Fungi
Lecanora transcendens (Nyl.) Arnol,Fungi
Lecanora umbrina (Ach.) A. Massal.,Fungi
Lecanora umbrosa auct. brit. ,Fungi
Lecanora wasmuthii Mereschk.,Fungi
Lecanora xanthosora B. D. Ryan et Poelt ,Fungi
Lecanora xanthostoma Cl. Roux ex Fröberg,Fungi
"Lecanoropsis anopta (Nyl.) S. Y. Kondr., L. Lőkös et Farkas",Fungi
Lecidella anomaloides (A. Massal.) Hertel et Kilias,Fungi
Lecidella asema (Nyl.) Knoph et Hertel ,Fungi
Lecidella carpathica Körb.,Fungi
Lecidella elaeochroma (Ach.) Choisy ,Fungi
Lecidella flavosorediata (Vězda) Hertel et Leuckert,Fungi
Lecidella patavina (A. Massal.) Knoph et Leuckert ,Fungi
Lecidella pulveracea (Flörke ex Th. Fr.) Sydov ,Fungi
Lecidella scabra (Taylor) Hertel et Leuckert ,Fungi
Lecidella stigmatea (Ach.) Hertel et Leuckert ,Fungi
Lecidella subviridis Tønsberg ,Fungi
Lecidella viridans (Flot.) Körb.,Fungi
Lecidella wulfenii (Hepp) Körb. ,Fungi
Lepraria alpina (B. de Lesd.) Tretiach et Baruffo,Fungi
Lepraria borealis Loht. et Tønsberg ,Fungi
Lepraria caesioalba (B. de Lesd.) J. R. Laundon ,Fungi
Lepraria celata Slav.-Bayr. ,Fungi
Lepraria crasissima (Hue) Lettau ,Fungi
Lepraria diffusa (J. R. Laundon) Kukwa ,Fungi
Lepraria eburnea J. R. Laundon ,Fungi
Lepraria ecorticata (J. R. Laundon) Kukwa,Fungi
Lepraria elobata Tønsberg ,Fungi
Lepraria incana (L.) Ach. ,Fungi
Lepraria jackii Tønsberg ,Fungi
Lepraria lobificans Nyl.,Fungi
Lepraria membranacea (Dicks.) Vainio,Fungi
Lepraria nivalis J. R. Laundon ,Fungi
Lepraria rigidula (B. de Lesd.) Tønsberg ,Fungi
Lepraria vouauxii (Hue) R. C. Harris,Fungi
Letharia vulpina (L.) Hue,Fungi
Lethariella intricata (Moris) Krog,Fungi
Megalaria grossa (Pers. ex Nyl.) Hafellner ,Fungi
Megalaria intermixta (Nyl.) Kalb,Fungi
Megalaria laureri (Hepp ex Th. Fr.) Hafellner,Fungi
Megalaria pulverea (Borrer) Hafellner et E. Schreiner,Fungi
Melanelia commixta (Nyl.) Thell ,Fungi
Melanelia hepatizon (Ach.) Thell,Fungi
Melanelia panniformis (Nyl.) Essl.,Fungi
Melanelia stygia (L.) Essl.,Fungi
Melanelia subargentifera (Nyl.) Essl.,Fungi
Melanelia subaurifera (Nyl.) Essl.,Fungi
Melanelixia fuliginosa (Duby) Essl.,Fungi
Melanelixia glabra (Schaer.) O. Blanco et al.,Fungi
Melanelixia glabratula (Lamy) Sandler et Arup,Fungi
Melanohalea elegantula (Zahlbr.) O. Blanko et al. ,Fungi
Melanohalea exasperata (De Not.) O. Blanko et al. ,Fungi
Melanohalea exasperatula (Nyl.) O. Blanko et al. ,Fungi
Melanohalea infumata (Nyl.) O. Blanco et al. ,Fungi
Melanohalea laciniatula (Flagey ex H. Olivier) O. Blanko et al. ,Fungi
Melanohalea olivacea (L.) O. Blanko et al. ,Fungi
Melanohalea septentrionalis (Lynge) O. Blanko et al.,Fungi
Menegazzia subsimilis (H. Magn.) R. Sant.,Fungi
Menegazzia terebrata (Hoffm.) A. Massal.,Fungi
Micarea adnata Coppins,Fungi
Micarea anterior (Nyl.) Hedl.,Fungi
Micarea assimilata (Nyl.) Coppins ,Fungi
Micarea botryoides (Nyl.) Coppins ,Fungi
"Micarea byssacea (Th. Fr.) Czarnota, Guzow-Krzem. et Coppins",Fungi
Micarea cinerea (Schaer.) Hedl.,Fungi
Micarea crassipes (Th. Fr.) Coppins,Fungi
Micarea deminuta Coppins,Fungi
Micarea denigrata (Fr.) Hedl.,Fungi
Micarea globulosella (Nyl.) Coppins,Fungi
Micarea hedlungii Coppins,Fungi
Micarea incrassata Hedl.,Fungi
Micarea lignaria (Ach.) Hedl.,Fungi
Micarea lithinella (Nyl.) Hedl.,Fungi
Micarea marginata Coppins,Fungi
Micarea melaena (Nyl.) Hedl.,Fungi
Micarea melaeniza Hedl.,Fungi
Micarea melanobola (Nyl.) Coppins,Fungi
Micarea micrococca (Körb.) Gams ex Coppins,Fungi
Micarea misella (Nyl.) Hedl.,Fungi
Micarea nigella Coppins,Fungi
Micarea nitschkeana (J. Lahm. ex Rabenh.) Harm.,Fungi
Micarea peliocarpa (Anzi) Coppins et R. Sant. ,Fungi
Micarea perparvula (Nyl.) Coppins et Printzen,Fungi
Micarea prasina Fr.,Fungi
"Micarea soralifera Guzow-Krzem., Czarnota, Łubek et Kukwa",Fungi
Micarea subnigrata (Nyl.) Coppins et H. Kilias,Fungi
Micarea turfosa (A. Massal.) Du Rietz,Fungi
Micarea viridiatra Coppins,Fungi
Micarea viridileprosa Coppins et van den Boom,Fungi
Miriquidica complanata (Körb.) Hertel et Rambold,Fungi
