taxonID	scientificName	higherClassification	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship
agarics:ukraine:taxon:152	Clitocybe decastes	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Clitocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	decastes		species	(Fr.) P. Kumm.
agarics:ukraine:taxon:153	Clitocybe diatreta	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Clitocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	diatreta		species	(Fr.) P.Kumm.
agarics:ukraine:taxon:154	Clitocybe diosma	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Clitocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	diosma		species	Einhell.
agarics:ukraine:taxon:155	Clitocybe ditopa	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Clitocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	ditopa		species	(Fr.) Gillet
agarics:ukraine:taxon:156	Clitocybe fragrans	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Clitocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	fragrans		species	(With.) P.Kumm.
agarics:ukraine:taxon:157	Clitocybe fuscosquamulosa	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Clitocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	fuscosquamulosa		species	J.E.Lange
agarics:ukraine:taxon:158	Clitocybe geotropa gigas	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Clitocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	geotropa	gigas	varietas	(Harmaja) Bon
agarics:ukraine:taxon:160	Clitocybe hydrogramma	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Clitocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	hydrogramma		species	(Bull.) P.Kumm.
agarics:ukraine:taxon:161	Clitocybe incilis	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Clitocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	incilis		species	(Fr.) Gillet, 1874
agarics:ukraine:taxon:162	Clitocybe infundibuliformis	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Clitocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	infundibuliformis		species	(Schaeff.) Quél.
agarics:ukraine:taxon:163	Clitocybe marginella	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Clitocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	marginella		species	Harmaja
agarics:ukraine:taxon:164	Clitocybe martiorum	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Clitocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	martiorum		species	J.Favre
agarics:ukraine:taxon:165	Clitocybe metachroa	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Clitocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	metachroa		species	(Fr.) P.Kumm.
agarics:ukraine:taxon:166	Clitocybe nebularis	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Clitocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	nebularis		species	(Batsch) P.Kumm.
agarics:ukraine:taxon:167	Clitocybe odora	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Clitocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	odora		species	(Bull.) P.Kumm.
agarics:ukraine:taxon:168	Clitocybe opaca	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Clitocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	opaca		species	Gillet
agarics:ukraine:taxon:169	Clitocybe perforata	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Clitocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	perforata		species	Corner
